,Magnetic_Field,Moment_fitting
0,-19617.0,-30.052669460725586
1,-19265.4,-30.028239363900404
2,-18847.5,-29.998090470325987
3,-18435.4,-29.967106402136817
4,-18029.4,-29.93528589834596
5,-17628.3,-29.902506030407782
6,-17227.2,-29.868303992786185
7,-16829.1,-29.83285858213942
8,-16428.6,-29.79559061113432
9,-16031.1,-29.756896288560117
10,-15641.7,-29.717227717722004
11,-15249.7,-29.675406942947454
12,-14842.7,-29.629835025943372
13,-14445.1,-29.58303930449675
14,-14051.6,-29.534338636100745
15,-13656.0,-29.4827943998689
16,-13262.8,-29.428787969536337
17,-12868.1,-29.37156137221431
18,-12474.1,-29.311166617296003
19,-12080.8,-29.24733400365533
20,-11686.8,-29.179514003627098
21,-11309.1,-29.11052423553939
22,-10907.3,-29.032450625377066
23,-10506.4,-28.94926144292491
24,-10112.5,-28.86183898657712
25,-9718.75,-28.768210353661548
26,-9325.93,-28.66789645285311
27,-8932.15,-28.559615119789463
28,-8539.11,-28.44290227560268
29,-8144.68,-28.316017522121992
30,-7752.13,-28.178762262932334
31,-7357.88,-28.02838289433578
32,-6968.3,-27.865685885118076
33,-6586.14,-27.690442786665567
34,-6178.36,-27.48364368065092
35,-5784.3,-27.26108650231453
36,-5391.03,-27.01267866526057
37,-4997.76,-26.732980804914277
38,-4603.47,-26.414710704482346
39,-4210.45,-26.05142832286487
40,-3817.47,-25.631224541366343
41,-3424.29,-25.138899449842857
42,-3030.44,-24.552781417924592
43,-2648.61,-23.867400086021195
44,-2251.4,-22.987499528106426
45,-1966.17,-22.21207876727662
46,-1870.15,-21.916430429389504
47,-1770.3,-21.587119777025208
48,-1670.2,-21.231964320303348
49,-1570.2,-20.849014075827693
50,-1470.09,-20.433741318215308
51,-1370.34,-19.9837998150363
52,-1270.33,-19.491110365387154
53,-1170.1,-18.949026905992433
54,-1071.26,-18.35920242396529
55,-974.177,-17.716989739802905
56,-870.33,-16.947670220924724
57,-796.339,-16.3377105758211
58,-771.587,-16.12051822167479
59,-746.977,-15.897445734397214
60,-721.849,-15.661933497325442
61,-697.026,-15.421152598781983
62,-671.708,-15.166750967429126
63,-647.069,-14.910098279100993
64,-621.819,-14.637208036062614
65,-597.621,-14.365708826853819
66,-572.988,-14.078636586967844
67,-546.648,-13.758911837204925
68,-521.941,-13.446163208721662
69,-497.149,-13.118910109104888
70,-471.652,-12.767251480521631
71,-447.155,-12.413827434422668
72,-421.814,-12.030861540265859
73,-396.326,-11.626332694295002
74,-371.97,-11.220029076282326
75,-347.312,-10.787219621472092
76,-323.22,-10.341505068216104
77,-296.88,-9.825721760753913
78,-272.055,-9.309426347562805
79,-246.778,-8.750140673687469
80,-221.74,-8.158669578007341
81,-204.358,-7.723598417459556
82,-194.742,-7.473509603487615
83,-184.921,-7.2107135376365905
84,-174.495,-6.923113869704276
85,-164.942,-6.651357028224454
86,-154.944,-6.357997209238749
87,-145.338,-6.067003727899175
88,-135.279,-5.75208273158728
89,-124.622,-5.406284319506106
90,-115.049,-5.084253745856408
91,-105.099,-4.737275482489714
92,-94.5917,-4.356276102581109
93,-85.0996,-3.998207637039103
94,-75.0476,-3.6034902065513803
95,-65.582,-3.216011159961716
96,-63.6255,-3.1338948248919807
97,-61.4516,-3.041808262905652
98,-59.4294,-2.955334346095249
99,-57.4803,-2.871231185750365
100,-55.4281,-2.781864141301054
101,-53.4024,-2.692816647068377
102,-51.2835,-2.598768982837132
103,-49.3921,-2.514025030339675
104,-47.4322,-2.4254080683698205
105,-45.4758,-2.336119492338919
106,-43.5493,-2.2473714824728535
107,-41.4621,-2.150281627272942
108,-39.4501,-2.0557494228092077
109,-37.5099,-1.9637012812325252
110,-35.5449,-1.8695717067242992
111,-33.4157,-1.7665314600072324
112,-31.5294,-1.674323591831282
113,-29.4507,-1.5716911102923807
114,-27.6431,-1.481562530304809
115,-25.4293,-1.3700481785006522
116,-23.2001,-1.256482298262867
117,-21.6558,-1.177049845362451
118,-19.3941,-1.059587376785827
119,-17.3599,-0.95278726680892
120,-15.6275,-0.8609701061796805
121,-13.4444,-0.7441408800476879
122,-11.7454,-0.6523595171219139
123,-9.24514,-0.5159588335735241
124,-7.24169,-0.4055619652430141
125,-5.67689,-0.3187015257626973
126,-3.29206,-0.18537554497046227
127,-1.53192,-0.08638874615877805
128,0.68514,0.038651315134505856
129,2.46032,0.1386501066541023
130,4.55987,0.25638489989174423
131,6.80938,0.3816184236106372
132,8.46845,0.47327316319620133
133,10.3688,0.5774578703077575
134,12.9182,0.7157948858862659
135,14.3125,0.7907470966823236
136,16.706,0.9182237079180132
137,18.6448,1.0203746603294082
138,20.4757,1.1159288332788426
139,22.9086,1.241536460869293
140,24.425,1.3190438513324356
141,26.7418,1.4363132412208848
142,28.2607,1.5124495247561855
143,30.6658,1.631815417856725
144,32.4864,1.7212137290920984
145,34.5568,1.8218899492094942
146,36.347,1.9081057058718913
147,38.7606,2.023138529522908
148,40.2834,2.095014390945481
149,42.4074,2.1943759985500475
150,44.5498,2.293564393591663
151,46.5941,2.3872601758104603
152,48.5856,2.477658944360543
153,50.3248,2.5559089735191383
154,52.6823,2.660959333634201
155,54.3302,2.7337055304023283
156,56.4743,2.8275283294244846
157,58.9474,2.9346056578695316
158,60.5225,3.0021760315510795
159,62.3951,3.08188532784385
160,64.8773,3.1865164503128796
161,66.2378,3.243376589341251
162,68.848,3.351515341094714
163,70.1357,3.4044101450039523
164,73.1023,3.5251499154244517
165,75.4785,3.6207552870319764
166,85.508,4.0138987567520585
167,95.5504,4.391690604160049
168,105.196,4.740721263288278
169,115.933,5.1144637100724895
170,125.255,5.427188980993483
171,135.37,5.754980476944576
172,145.783,6.080689725340947
173,155.298,6.368546484878155
174,165.326,6.66243858660531
175,175.552,6.952689877047362
176,185.501,7.226447785672308
177,196.844,7.528774733882298
178,219.974,8.115422455454818
179,245.562,8.722312770423093
180,270.097,9.267362272678755
181,295.205,9.791843655578756
182,320.405,10.28785313618427
183,344.855,10.742833190178178
184,370.633,11.197132496394408
185,395.203,11.608036342539359
186,419.382,11.99312550803069
187,444.035,12.36765797241326
188,470.188,12.746570289585538
189,495.474,13.096290529238674
190,520.323,13.425226395480044
191,544.924,13.73750305509394
192,570.311,14.046758991920983
193,595.247,14.338522965633471
194,620.198,14.61933275202962
195,645.628,14.894799320180544
196,669.936,15.148598109553403
197,694.196,15.393167764944817
198,719.903,15.643355307996954
199,745.518,15.883989391642265
200,770.343,16.1094159647372
201,811.797,16.469870796548186
202,907.915,17.23696367648272
203,1008.29,17.950429832440356
204,1107.98,18.585306687177123
205,1208.22,19.16137045455754
206,1308.55,19.68469721224996
207,1408.14,20.15886715116741
208,1507.67,20.593635738780847
209,1604.63,20.98425753208303
210,1708.22,21.369998363096737
211,1808.18,21.714831232144583
212,1908.48,22.03679839804861
213,2111.91,22.625949625259466
214,2513.13,23.589267982148648
215,2915.95,24.360953227466
216,3317.28,24.989912607084797
217,3720.47,25.517132083247905
218,4122.21,25.962491166658264
219,4516.81,26.338894518768083
220,4915.02,26.66958160076875
221,5329.09,26.970847643783035
222,5730.83,27.228955192327675
223,6133.26,27.45937334823694
224,6535.87,27.666115872744548
225,6937.71,27.852258357734698
226,7339.72,28.021125260037362
227,7742.25,28.175153970881432
228,8144.05,28.315806382357536
229,8545.2,28.444781719443025
230,8932.75,28.55978644075123
231,9346.56,28.673348680136257
232,9752.53,28.77650410934889
233,10154.0,28.871332578958786
234,10556.6,28.9599860193589
235,10959.1,29.04280293255187
236,11360.0,29.12006127950044
237,11762.9,29.192931776227468
238,12164.6,29.261247173456297
239,12565.8,29.325529263174047
240,12968.6,29.386432968528766
241,13360.3,29.44244977215144
242,13757.9,29.49633031716714
243,14171.2,29.549402787996897
244,14571.9,29.59821782938733
245,14971.7,29.644526134723062
246,15372.3,29.688698133482927
247,15771.7,29.730672389712456
248,16170.6,29.770676596393418
249,16566.9,29.80864906146012
250,16965.8,29.845204336719394
251,17361.3,29.879902690273738
252,17738.5,29.91165000940408
253,18152.6,29.94508246774071
254,18545.9,29.975540999684945
255,18935.8,30.004564800528076
256,19318.6,30.031989487670128
257,19523.8,30.046274262689778
258,19175.2,30.021836418183685
259,18748.7,29.99077848141543
260,18327.8,29.95880168507092
261,17914.8,29.92606015702421
262,17504.1,29.89207166664993
