Magnetic Field (Oe),Moment(emu),M (emu/g)
-19617,-1.28668,-31.52082
-19265.4,-1.28564,-31.49535
-18847.5,-1.28419,-31.45982
-18435.4,-1.28255,-31.41965
-18029.4,-1.28072,-31.37482
-17628.3,-1.27872,-31.32582
-17227.2,-1.27651,-31.27168
-16829.1,-1.27412,-31.21313
-16428.6,-1.2715,-31.14895
-16031.1,-1.26871,-31.0806
-15641.7,-1.26577,-31.00857
-15249.7,-1.26262,-30.93141
-14842.7,-1.25917,-30.84689
-14445.1,-1.25561,-30.75968
-14051.6,-1.25189,-30.66854
-13656,-1.24795,-30.57202
-13262.8,-1.24383,-30.47109
-12868.1,-1.2395,-30.36502
-12474.1,-1.23499,-30.25453
-12080.8,-1.23028,-30.13915
-11686.8,-1.22537,-30.01886
-11309.1,-1.22048,-29.89907
-10907.3,-1.21508,-29.76678
-10506.4,-1.20945,-29.62886
-10112.5,-1.2037,-29.488
-9718.75,-1.19771,-29.34125
-9325.93,-1.19145,-29.1879
-8932.15,-1.18486,-29.02646
-8539.11,-1.17791,-28.8562
-8144.68,-1.17054,-28.67565
-7752.13,-1.16274,-28.48457
-7357.88,-1.15444,-28.28123
-6968.3,-1.14563,-28.06541
-6586.14,-1.13626,-27.83586
-6178.36,-1.1256,-27.57472
-5784.3,-1.11464,-27.30622
-5391.03,-1.10262,-27.01176
-4997.76,-1.08979,-26.69745
-4603.47,-1.07513,-26.33831
-4210.45,-1.05904,-25.94415
-3817.47,-1.04061,-25.49265
-3424.29,-1.01951,-24.97575
-3030.44,-0.99529,-24.38241
-2648.61,-0.96738,-23.69868
-2251.4,-0.93163,-22.82288
-1966.17,-0.89989,-22.04532
-1870.15,-0.88759,-21.744
-1770.3,-0.87434,-21.4194
-1670.2,-0.86005,-21.06933
-1570.2,-0.8453,-20.70799
-1470.09,-0.82925,-20.3148
-1370.34,-0.81225,-19.89833
-1270.33,-0.79343,-19.43729
-1170.1,-0.77312,-18.93974
-1071.26,-0.75114,-18.40127
-974.177,-0.72674,-17.80353
-870.33,-0.69697,-17.07423
-796.339,-0.67285,-16.48334
-771.587,-0.66433,-16.27462
-746.977,-0.65536,-16.05488
-721.849,-0.6459,-15.82313
-697.026,-0.63644,-15.59138
-671.708,-0.62632,-15.34346
-647.069,-0.61629,-15.09775
-621.819,-0.60556,-14.83488
-597.621,-0.59488,-14.57325
-572.988,-0.58362,-14.2974
-546.648,-0.57098,-13.98775
-521.941,-0.55856,-13.68349
-497.149,-0.54557,-13.36526
-471.652,-0.53167,-13.02474
-447.155,-0.51762,-12.68055
-421.814,-0.50242,-12.30818
-396.326,-0.48623,-11.91156
-371.97,-0.46988,-11.51102
-347.312,-0.45238,-11.08231
-323.22,-0.43421,-10.63719
-296.88,-0.41309,-10.11979
-272.055,-0.3917,-9.59579
-246.778,-0.36824,-9.02107
-221.74,-0.34311,-8.40544
-204.358,-0.32446,-7.94855
